ContractID,LongName,Date,Open,Low,High,Close,Volume
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-29,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-30,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-31,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2019-01-01,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2019-01-02,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2019-01-03,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2019-01-04,0.99,0.99,0.99,0.99,0
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2019-01-05,0.99,0.99,0.99,0.99,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-11,0.35,0.35,0.58,0.55,23
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-12,0.55,0.55,0.59,0.55,101
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-13,0.55,0.55,0.55,0.55,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-14,0.55,0.55,0.77,0.69,156
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-15,0.69,0.5,0.69,0.52,965
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-16,0.52,0.52,0.63,0.53,465
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-17,0.53,0.52,0.79,0.58,574
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-18,0.58,0.52,0.58,0.53,134
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-19,0.53,0.51,0.6,0.6,412
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-20,0.6,0.6,0.64,0.64,1
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-21,0.64,0.52,0.64,0.61,203
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-22,0.61,0.5,0.61,0.53,401
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-23,0.53,0.52,0.53,0.53,85
