forecastdate,state,party,model,win_probability,mean_seats,median_seats,p10_seats,p90_seats,margin,p10_margin,p90_margin
2018-10-30,US,D,deluxe,0.1476,48.16,48,45,51,20.74,16.98,24.53
2018-10-30,US,R,deluxe,0.8524,51.84,52,49,55,-20.74,-16.98,-24.53
2018-10-31,US,D,deluxe,0.1458,48.14,48,45,51,20.65,16.89,24.39
2018-10-31,US,R,deluxe,0.8542,51.86,52,49,55,-20.65,-16.89,-24.39
2018-11-01,US,D,deluxe,0.1516,48.22,48,45,51,20.64,16.93,24.37
2018-11-01,US,R,deluxe,0.8484,51.79,52,49,55,-20.64,-16.93,-24.37
2018-11-02,US,D,deluxe,0.1514,48.22,48,45,51,20.58,16.89,24.28
2018-11-02,US,R,deluxe,0.8486,51.78,52,49,55,-20.58,-16.89,-24.28
2018-11-03,US,D,deluxe,0.1616,48.29,48,45,51,20.65,16.98,24.31
2018-11-03,US,R,deluxe,0.8384,51.71,52,49,55,-20.65,-16.98,-24.31
2018-11-04,US,D,deluxe,0.1516,48.26,48,45,51,20.53,16.9,24.16
2018-11-04,US,R,deluxe,0.8484,51.74,52,49,55,-20.53,-16.9,-24.16
2018-11-05,US,D,deluxe,0.1813,48.45,49,46,51,20.53,16.95,24.1
2018-11-05,US,R,deluxe,0.8187,51.55,51,49,54,-20.53,-16.95,-24.1
2018-11-06,US,D,deluxe,0.1804,48.45,49,46,51,20.55,16.97,24.11
2018-11-06,US,R,deluxe,0.8196,51.55,51,49,54,-20.55,-16.97,-24.11
2018-08-24,US,D,lite,0.2437,48.38,49,45,52,20.62,15.69,25.55
2018-08-24,US,R,lite,0.7563,51.62,51,48,55,-20.62,-15.69,-25.55
2018-08-25,US,D,lite,0.2618,48.5,49,45,52,20.72,15.78,25.68
2018-08-25,US,R,lite,0.7382,51.5,51,48,55,-20.72,-15.78,-25.68
2018-08-26,US,D,lite,0.2501,48.45,49,45,52,20.72,15.83,25.63
2018-08-26,US,R,lite,0.7499,51.55,51,48,55,-20.72,-15.83,-25.63
2018-08-27,US,D,lite,0.2399,48.38,49,45,52,20.5,15.62,25.37
2018-08-27,US,R,lite,0.7601,51.62,51,48,55,-20.5,-15.62,-25.37
2018-08-28,US,D,lite,0.2564,48.5,49,45,52,20.66,15.78,25.6
2018-08-28,US,R,lite,0.7436,51.5,51,48,55,-20.66,-15.78,-25.6
2018-08-29,US,D,lite,0.269,48.59,49,45,52,20.91,16.05,25.78
2018-08-29,US,R,lite,0.731,51.41,51,48,55,-20.91,-16.05,-25.78
2018-08-30,US,D,lite,0.2942,48.78,49,45,52,20.66,15.78,25.51
2018-08-30,US,R,lite,0.7058,51.22,51,48,55,-20.66,-15.78,-25.51
2018-08-31,US,D,lite,0.2997,48.79,49,45,52,20.7,15.81,25.54
2018-08-31,US,R,lite,0.7003,51.21,51,48,55,-20.7,-15.81,-25.54
