ID,ideology,leadership,name,party,description,introduced_bills_115,cosponsored_bills_115,unique_cosponsors_115,total_cosponsors_115,chamber
412562,0.3288261923189334,0.5435874459147294,Maloney [NY18],Democrat,rank-and-file Democrat,35,476,215,317,house
412189,0.26026090644660155,0.30888014421503396,McNerney,Democrat,moderate Democratic follower,22,428,60,84,house
412432,0.32860212874283007,0.7084048946706715,Richmond,Democrat,moderate Democratic leader,16,294,390,677,house
400350,0.25182968755100965,0.30808459053738396,Rush,Democrat,moderate Democratic follower,26,582,100,173,house
400366,0.15919940292167528,0.30583793073222415,Serrano,Democrat,lonely progressive Democratic,22,514,58,101,house
412522,0.2926978172339313,0.3573340122380281,Vargas,Democrat,rank-and-file Democrat,13,345,30,63,house
412412,0.168205477770944,0.5029514142647104,Wilson [FL24],Democrat,progressive Democrat,19,568,70,210,house
400651,0.9280790719104844,0.4588171829710511,Gohmert,Republican,conservative Republican,18,260,93,161,house
400018,0.7536378906597541,0.7071013870555088,Barton,Republican,rank-and-file Republican,7,121,230,287,house
412397,0.9729069827512071,0.8017948381882825,Gosar,Republican,conservative Republican leader,23,357,144,318,house
412434,0.8955534114538176,0.46228368989679364,Harris,Republican,conservative Republican,5,217,53,56,house
412574,0.9229927257359607,0.4597986409981109,Weber,Republican,conservative Republican,10,307,55,74,house
412468,0.7511422663687899,0.6824274113518555,Marino,Republican,rank-and-file Republican,26,205,130,185,house
412500,0.8040426518679427,0.5041090095761553,Amodei,Republican,rank-and-file Republican,14,178,106,124,house
412531,0.8121056699713206,0.7910893784111983,Collins [GA9],Republican,moderate Republican leader,46,141,276,498,house
400141,0.928631560465506,0.8426998897576672,Franks,Republican,conservative Republican leader,12,250,224,446,house
400316,0.6599061975649219,0.3986654551996711,Peterson,Democrat,centrist Democrat,9,342,84,131,house
412596,0.8501070699377427,0.6170505510146612,Smith [MO8],Republican,rank-and-file Republican,25,199,287,464,house
400381,0.9010221325208727,0.7512870774634426,Smith [TX21],Republican,conservative Republican leader,13,269,337,488,house
400063,0.27402690046098194,0.38104129982365853,Capuano,Democrat,rank-and-file Democrat,25,469,85,130,house
400308,0.26103038695454306,0.5005719945725542,Pallone,Democrat,rank-and-file Democrat,31,476,149,387,house
412399,0.8563575982759841,0.4713969920307088,Schweikert,Republican,rank-and-file Republican,12,197,52,63,house
400029,0.8278331834542318,0.6608203181403774,Bishop [UT1],Republican,rank-and-file Republican,26,167,284,401,house
412555,0.9846439281890063,0.6016068495897035,Cramer,Republican,conservative Republican,25,380,233,307,house
400089,0.8511659372978434,0.2691987953605728,Culberson,Republican,moderate Republican follower,8,187,16,16,house
400199,0.1482744065082744,0.6423445451893876,Jackson Lee,Democrat,progressive Democratic leader,65,779,204,814,house
400654,0.8153510984226577,0.9045041126984497,McCaul,Republican,moderate Republican leader,33,274,404,944,house
