date,race,close,prob
2018-08-11,ND-S1,0.4,0.598
2018-08-11,NE-02,0.45999999999999996,0.5707
2018-08-11,NE-S1,0.050000000000000044,0.0442
2018-08-11,NH-01,0.82,0.8027
2018-08-11,NJ-02,0.94,0.887
2018-08-11,NJ-07,0.65,0.6167
2018-08-11,NJ-11,0.81,0.7251
2018-08-11,NJ-S1,0.77,0.9451
2018-08-11,NM-S1,0.91,0.9686
2018-08-11,NV-03,0.89,0.6783
2018-08-11,NV-04,0.89,0.8464
2018-08-11,NV-S1,0.64,0.5384
2018-08-11,NY-01,0.28,0.1059
2018-08-11,NY-09,0.98,1
2018-08-11,NY-14,0.95,1
2018-08-11,NY-19,0.62,0.5311
2018-08-11,NY-27,0.94,0.1829
2018-08-11,OH-S1,0.82,0.9523
2018-08-11,PA-06,0.96,0.9809
2018-08-11,PA-09,0.03,0.0086
2018-08-11,PA-15,0.14,0
2018-08-11,PA-17,0.88,0.9728
2018-08-11,PA-S1,0.84,0.9533
2018-08-11,PA-S1,0.93,0.9533
2018-08-11,SC-04,0.02,4e-4
2018-08-11,TN-S1,0.51,0.2774
2018-08-11,TX-05,0.1,7e-4
2018-08-11,TX-06,0.06,0.0691
2018-08-11,TX-21,0.17,0.1559
2018-08-11,TX-23,0.62,0.7201
2018-08-11,TX-29,0.96,0.9999
2018-08-11,TX-S1,0.28,0.2601
2018-08-11,VA-02,0.63,0.2175
2018-08-11,VA-06,0.1,0.0037
2018-08-11,VA-10,0.85,0.7445
2018-08-11,VA-S1,0.94,0.9932
2018-08-11,VT-S1,0.95,1
2018-08-11,WA-08,0.67,0.4978
2018-08-11,WI-01,0.45,0.2628
2018-08-11,WI-S1,0.83,0.979
2018-08-11,WV-03,0.7,0.0624
2018-08-11,WV-S1,0.79,0.865
2018-08-12,AZ-S1,0.61,0.7378
2018-08-12,CA-10,0.6699999999999999,0.6939
2018-08-12,CA-12,0.91,1
2018-08-12,CA-22,0.26,0.0408
2018-08-12,CA-25,0.65,0.7406
2018-08-12,CA-39,0.6,0.4719
2018-08-12,CA-48,0.73,0.6537
2018-08-12,CA-49,0.77,0.8035
2018-08-12,CA-S1,0.87,1
2018-08-12,CO-05,0.06999999999999995,0.0236
2018-08-12,CO-06,0.63,0.6368
2018-08-12,CT-05,0.96,0.9661
2018-08-12,FL-15,0.31,0.2642
2018-08-12,FL-17,0.09,0.0034
2018-08-12,FL-26,0.62,0.3808
2018-08-12,FL-27,0.94,0.973
2018-08-12,FL-S1,0.55,0.6194
2018-08-12,IL-12,0.58,0.3854
2018-08-12,IN-S1,0.39,0.8644
2018-08-12,MA-S1,0.89,0.9987
2018-08-12,MD-06,0.93,0.9908
2018-08-12,ME-S1,0.030000000000000027,1e-4
2018-08-12,MI-08,0.55,0.4272
2018-08-12,MI-11,0.67,0.6711
2018-08-12,MI-S1,0.76,0.9867
2018-08-12,MN-01,0.56,0.4809
2018-08-12,MN-02,0.85,0.7544
2018-08-12,MN-03,0.56,0.6464
2018-08-12,MN-08,0.55,0.3805
2018-08-12,MN-S1,0.84,0.9982
2018-08-12,MO-S1,0.52,0.7412
2018-08-12,MS-03,0.1,0.0065
2018-08-12,MS-S2,0.1,0.1369
2018-08-12,MT-S1,0.67,0.8951
2018-08-12,NC-09,0.75,0.5983
2018-08-12,NC-13,0.54,0.3872
2018-08-12,ND-S1,0.43,0.6025
2018-08-12,NE-02,0.45999999999999996,0.5755
2018-08-12,NE-S1,0.050000000000000044,0.0435
2018-08-12,NH-01,0.82,0.8029
2018-08-12,NJ-02,0.94,0.8873
2018-08-12,NJ-07,0.65,0.6229
2018-08-12,NJ-11,0.81,0.7188
2018-08-12,NJ-S1,0.77,0.946
2018-08-12,NM-S1,0.91,0.9677
2018-08-12,NV-03,0.89,0.6877
2018-08-12,NV-04,0.89,0.8459
2018-08-12,NV-S1,0.64,0.5396
2018-08-12,NY-01,0.28,0.1069
2018-08-12,NY-09,0.98,1
2018-08-12,NY-14,0.95,1
2018-08-12,NY-19,0.62,0.5374
2018-08-12,NY-27,0.96,0.1855
2018-08-12,OH-S1,0.88,0.9497
2018-08-12,PA-06,0.96,0.9809
2018-08-12,PA-09,0.03,0.0088
2018-08-12,PA-15,0.14,0
2018-08-12,PA-17,0.94,0.9723
2018-08-12,PA-S1,0.84,0.9534
2018-08-12,PA-S1,0.93,0.9534
2018-08-12,SC-04,0.02,2e-4
2018-08-12,TN-S1,0.51,0.2828
2018-08-12,TX-05,0.1,7e-4
2018-08-12,TX-06,0.06,0.0728
2018-08-12,TX-21,0.17,0.1595
2018-08-12,TX-23,0.62,0.7262
2018-08-12,TX-29,0.96,0.9999
2018-08-12,TX-S1,0.27,0.2594
2018-08-12,VA-02,0.63,0.2227
2018-08-12,VA-06,0.1,0.004
2018-08-12,VA-10,0.83,0.7466
2018-08-12,VA-S1,0.94,0.9926
2018-08-12,VT-S1,0.95,1
2018-08-12,WA-08,0.67,0.4986
2018-08-12,WI-01,0.47,0.2723
2018-08-12,WI-S1,0.83,0.9796
2018-08-12,WV-03,0.7,0.064
2018-08-12,WV-S1,0.76,0.864
2018-08-13,AZ-S1,0.61,0.737
2018-08-13,CA-10,0.6699999999999999,0.6911
2018-08-13,CA-12,0.94,1
2018-08-13,CA-22,0.21999999999999997,0.0411
2018-08-13,CA-25,0.65,0.7428
2018-08-13,CA-39,0.64,0.4703
2018-08-13,CA-48,0.7,0.6536
2018-08-13,CA-49,0.77,0.8049
2018-08-13,CA-S1,0.87,1
2018-08-13,CO-05,0.06999999999999995,0.0234
2018-08-13,CO-06,0.5800000000000001,0.6441
2018-08-13,CT-05,0.96,0.9693
2018-08-13,FL-15,0.31,0.2653
2018-08-13,FL-17,0.09,0.003
2018-08-13,FL-26,0.62,0.3845
2018-08-13,FL-27,0.94,0.9733
2018-08-13,FL-S1,0.51,0.6163
2018-08-13,IL-12,0.58,0.3905
2018-08-13,IN-S1,0.39,0.8658
2018-08-13,MA-S1,0.9,0.9988
2018-08-13,MD-06,0.93,0.9904
2018-08-13,ME-S1,0.030000000000000027,0
2018-08-13,MI-08,0.51,0.4296
2018-08-13,MI-11,0.67,0.6751
2018-08-13,MI-S1,0.78,0.9867
2018-08-13,MN-01,0.56,0.483
2018-08-13,MN-02,0.85,0.7542
2018-08-13,MN-03,0.56,0.6448
2018-08-13,MN-08,0.55,0.3852
2018-08-13,MN-S1,0.83,0.9979
2018-08-13,MO-S1,0.54,0.7427
2018-08-13,MS-03,0.1,0.0058
2018-08-13,MS-S2,0.11,0.1355
2018-08-13,MT-S1,0.66,0.8993
2018-08-13,NC-09,0.74,0.5993
2018-08-13,NC-13,0.54,0.3875
2018-08-13,ND-S1,0.43,0.6036
2018-08-13,NE-02,0.45999999999999996,0.5799
2018-08-13,NE-S1,0.050000000000000044,0.0418
2018-08-13,NH-01,0.82,0.8051
2018-08-13,NJ-02,0.93,0.8889
2018-08-13,NJ-07,0.67,0.6216
2018-08-13,NJ-11,0.81,0.7246
2018-08-13,NJ-S1,0.76,0.9477
2018-08-13,NM-S1,0.91,0.9691
2018-08-13,NV-03,0.89,0.687
