date,mid,race,party,open,low,high,close,vol
2018-07-10,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-11,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-12,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-13,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-14,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-15,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-16,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-17,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-18,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-19,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-20,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-21,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-22,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-23,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-24,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-25,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-26,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-27,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-28,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-29,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-30,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-07-31,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-08-01,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-08-02,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-08-03,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-08-04,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-08-05,4015,MD-06,R,0.03,0.03,0.03,0.03,0
2018-08-06,4015,MD-06,R,0.03,0.03,0.16,0.16,1
2018-08-07,4015,MD-06,R,0.16,0.16,0.16,0.16,0
2018-08-08,4015,MD-06,R,0.16,0.16,0.16,0.16,0
2018-08-09,4015,MD-06,R,0.16,0.16,0.16,0.16,1
2018-08-10,4015,MD-06,R,0.16,0.16,0.16,0.16,0
2018-08-11,4015,MD-06,R,0.16,0.16,0.16,0.16,0
2018-08-12,4015,MD-06,R,0.16,0.16,0.16,0.16,0
2018-08-13,4015,MD-06,R,0.16,0.15,0.16,0.15,7
2018-08-14,4015,MD-06,R,0.15,0.15,0.15,0.15,0
2018-08-15,4015,MD-06,R,0.15,0.15,0.15,0.15,0
2018-08-16,4015,MD-06,R,0.15,0.15,0.15,0.15,0
2018-08-17,4015,MD-06,R,0.15,0.15,0.15,0.15,0
2018-08-18,4015,MD-06,R,0.15,0.04,0.15,0.04,25
2018-08-19,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-08-20,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-08-21,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-08-22,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-08-23,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-08-24,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-08-25,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-08-26,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-08-27,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-08-28,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-08-29,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-08-30,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-08-31,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-01,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-02,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-03,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-04,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-05,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-06,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-07,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-08,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-09,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-10,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-11,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-12,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-13,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-14,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-15,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-16,4015,MD-06,R,0.04,0.04,0.04,0.04,0
2018-09-17,4015,MD-06,R,0.04,0.04,0.17,0.17,1
2018-09-18,4015,MD-06,R,0.17,0.17,0.17,0.17,0
2018-09-19,4015,MD-06,R,0.17,0.17,0.17,0.17,0
2018-09-20,4015,MD-06,R,0.17,0.17,0.17,0.17,0
2018-09-21,4015,MD-06,R,0.17,0.17,0.17,0.17,0
2018-09-22,4015,MD-06,R,0.17,0.17,0.17,0.17,0
2018-09-23,4015,MD-06,R,0.17,0.17,0.17,0.17,0
2018-09-24,4015,MD-06,R,0.17,0.17,0.17,0.17,0
2018-09-25,4015,MD-06,R,0.17,0.17,0.17,0.17,0
2018-09-26,4015,MD-06,R,0.17,0.17,0.17,0.17,0
2018-09-27,4015,MD-06,R,0.17,0.05,0.17,0.05,1
2018-09-28,4015,MD-06,R,0.05,0.05,0.15,0.05,6
2018-09-29,4015,MD-06,R,0.05,0.05,0.15,0.1,3
2018-09-30,4015,MD-06,R,0.1,0.1,0.15,0.15,1
2018-10-01,4015,MD-06,R,0.15,0.05,0.15,0.05,1
2018-10-02,4015,MD-06,R,0.05,0.05,0.14,0.14,1
2018-10-03,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-10-04,4015,MD-06,R,0.14,0.05,0.14,0.05,1
2018-10-05,4015,MD-06,R,0.05,0.05,0.13,0.05,2
2018-10-06,4015,MD-06,R,0.05,0.05,0.13,0.06,2
2018-10-07,4015,MD-06,R,0.06,0.06,0.13,0.13,1
