date,race,method,prob,hit,score
2018-08-06,MS-03,model,0.0055,TRUE,3.0249999999999997e-5
2018-08-06,MS-S1,model,0.0127,TRUE,1.6129e-4
2018-08-06,MT-S1,model,0.8931,TRUE,0.01142761
2018-08-06,NC-13,model,0.3907,TRUE,0.15264649
2018-08-06,ND-S1,model,0.585,FALSE,0.34222499999999995
2018-08-06,NE-02,model,0.5788,FALSE,0.33500944
2018-08-06,NE-S1,model,0.0434,TRUE,0.00188356
2018-08-06,NH-01,model,0.8061,TRUE,0.037597209999999985
2018-08-06,NJ-02,model,0.8881,TRUE,0.01252161
2018-08-06,NJ-07,model,0.6207,TRUE,0.14386849
2018-08-06,NJ-11,model,0.7241,TRUE,0.07612081000000002
2018-08-06,NJ-S1,model,0.943,TRUE,0.003249000000000006
2018-08-06,NM-S1,model,0.9661,TRUE,0.0011492100000000027
2018-08-06,NV-03,model,0.6857,TRUE,0.09878449000000002
2018-08-06,NV-04,model,0.8465,TRUE,0.02356224999999999
2018-08-06,NV-S1,model,0.5366,TRUE,0.21473956000000002
2018-08-06,NY-01,model,0.107,TRUE,0.011448999999999999
2018-08-06,NY-09,model,1,TRUE,0
2018-08-06,NY-14,model,1,TRUE,0
2018-08-06,NY-19,model,0.5402,TRUE,0.21141604
2018-08-06,OH-S1,model,0.9498,TRUE,0.002520040000000002
2018-08-06,PA-06,model,0.9805,TRUE,3.8024999999999854e-4
2018-08-06,PA-09,model,0.0084,TRUE,7.055999999999999e-5
2018-08-06,PA-15,model,1e-4,TRUE,1e-8
2018-08-06,PA-17,model,0.9724,TRUE,7.617599999999977e-4
2018-08-06,PA-S1,model,0.9515,TRUE,0.002352249999999999
2018-08-06,SC-04,model,4e-4,TRUE,1.6e-7
2018-08-06,TN-S1,model,0.3624,TRUE,0.13133376
2018-08-06,TX-05,model,8e-4,TRUE,6.4e-7
2018-08-06,TX-06,model,0.0704,TRUE,0.00495616
2018-08-06,TX-21,model,0.1618,TRUE,0.02617924
