date,mid,cid,price,volume,code,party
2018-08-12,3772,8174,0.5,25,TN-00,R
2018-08-12,3812,8313,0.38,137,AZ-00,R
2018-08-12,3812,8314,0.61,16,AZ-00,D
2018-08-12,3812,8313,0.38,137,AZ-00,R
2018-08-12,3812,8314,0.61,16,AZ-00,D
2018-08-12,3857,8455,0.87,0,CA-00,D
2018-08-12,3862,8469,0.94,0,NJ-02,D
2018-08-12,3862,8470,0.18,0,NJ-02,R
2018-08-12,3862,8469,0.94,0,NJ-02,D
2018-08-12,3862,8470,0.18,0,NJ-02,R
2018-08-12,3863,8467,0.89,0,TX-05,R
2018-08-12,3863,8471,0.1,0,TX-05,D
2018-08-12,3863,8467,0.89,0,TX-05,R
2018-08-12,3863,8471,0.1,0,TX-05,D
2018-08-12,3864,8466,0.95,0,TX-21,R
2018-08-12,3864,8468,0.17,0,TX-21,D
2018-08-12,3864,8466,0.95,0,TX-21,R
2018-08-12,3864,8468,0.17,0,TX-21,D
2018-08-12,3866,8481,0.9,0,VA-06,R
2018-08-12,3866,8482,0.1,0,VA-06,D
2018-08-12,3866,8481,0.9,0,VA-06,R
2018-08-12,3866,8482,0.1,0,VA-06,D
2018-08-12,3883,8565,0.96,0,TX-29,D
2018-08-12,3883,8566,0.04,0,TX-29,R
2018-08-12,3883,8565,0.96,0,TX-29,D
2018-08-12,3883,8566,0.04,0,TX-29,R
2018-08-12,3886,8570,0.63,1,VA-02,D
2018-08-12,3886,8571,0.45,20,VA-02,R
2018-08-12,3886,8570,0.63,1,VA-02,D
2018-08-12,3886,8571,0.45,20,VA-02,R
2018-08-12,3905,8645,0.74,112,CA-22,R
2018-08-12,3935,8783,0.06,0,TX-06,D
2018-08-12,3935,8784,0.92,0,TX-06,R
2018-08-12,3935,8783,0.06,0,TX-06,D
2018-08-12,3935,8784,0.92,0,TX-06,R
2018-08-12,3949,8834,0.84,4,MN-00,D
2018-08-12,3949,8835,0.16,23,MN-00,R
2018-08-12,3949,8834,0.84,4,MN-00,D
2018-08-12,3949,8835,0.16,23,MN-00,R
2018-08-12,4015,9079,0.16,0,MD-06,R
2018-08-12,4015,9080,0.93,1,MD-06,D
2018-08-12,4015,9079,0.16,0,MD-06,R
2018-08-12,4015,9080,0.93,1,MD-06,D
2018-08-12,4016,9078,0.94,0,PA-09,R
2018-08-12,4016,9081,0.03,0,PA-09,D
2018-08-12,4016,9078,0.94,0,PA-09,R
2018-08-12,4016,9081,0.03,0,PA-09,D
2018-08-12,4023,9094,0.1,0,MS-03,D
2018-08-12,4023,9095,0.92,0,MS-03,R
2018-08-12,4023,9094,0.1,0,MS-03,D
2018-08-12,4023,9095,0.92,0,MS-03,R
2018-08-12,4030,9124,0.6,20,CA-39,D
2018-08-12,4030,9125,0.36,0,CA-39,R
2018-08-12,4030,9124,0.6,20,CA-39,D
2018-08-12,4030,9125,0.36,0,CA-39,R
2018-08-12,4039,9152,0.77,0,CA-49,D
2018-08-12,4039,9153,0.29,11,CA-49,R
2018-08-12,4039,9152,0.77,0,CA-49,D
2018-08-12,4039,9153,0.29,11,CA-49,R
2018-08-12,4104,9373,0.81,2,NJ-11,D
2018-08-12,4104,9374,0.2,0,NJ-11,R
2018-08-12,4104,9373,0.81,2,NJ-11,D
2018-08-12,4104,9374,0.2,0,NJ-11,R
2018-08-12,4105,9369,0.98,0,NY-09,D
2018-08-12,4105,9370,0.07,0,NY-09,R
2018-08-12,4105,9369,0.98,0,NY-09,D
2018-08-12,4105,9370,0.07,0,NY-09,R
2018-08-12,4106,9371,0.85,0,SC-04,R
2018-08-12,4106,9372,0.02,0,SC-04,D
